AÑO;MPO;TOTAL_INDICIADOS;TOTAL_PROCESOS;TOTAL_VÍCTIMAS;trim
2016;bucaramanga;2945,1000000000004;6110,6;2719,4;4
2016;cali;4763,8;12276,0;10551,800000000001;4
2016;medellin;7827,200000000001;17798,0;12575,0;4
2016;pasto;1877,1000000000001;4471,8;3855,4;4
2017;bogota;21510,0;58632,8;32966,200000000004;4
2017;bucaramanga;2577,4;5546,0;3088,6000000000004;4
2017;cali;5299,8;13573,400000000001;12344,400000000001;4
2017;medellin;7820,5;18682,4;13316,2;4
2017;pasto;1983,1000000000001;4973,200000000001;3807,4;4
2018;bogota;22817,2;68952,6;46624,600000000006;4
2018;bucaramanga;2123,3;5164,200000000001;3571,6000000000004;4
2018;cali;5948,6;15354,0;14588,0;4
2018;medellin;7766,400000000001;20553,0;15399,0;4
2018;pasto;1834,3000000000002;4348,8;3414,6000000000004;4
2019;bogota;22610,4;74570,40000000001;57382,600000000006;4
2019;bucaramanga;2083,3;5217,400000000001;3836,8;4
2019;cali;5990,5;17215,600000000002;18063,0;4
2019;medellin;7450,6;22165,0;17870,600000000002;4
2019;pasto;1648,0;4236,400000000001;3930,4;4
2020;bogota;17808,3;59498,0;39851,8;4
2020;bucaramanga;1604,3000000000002;4333,8;2993,8;4
2020;cali;4069,5;12942,400000000001;11983,2;4
2020;medellin;5803,400000000001;17033,600000000002;12563,0;4
2020;pasto;1196,7;2930,4;2457,8;4
2021;bogota;19789,800000000003;72221,6;59694,8;4
2021;bucaramanga;2120,3;5491,200000000001;5320,8;4
2021;cali;5666,5;16727,2;31633,800000000003;4
2021;medellin;6463,900000000001;19832,2;20118,800000000003;4
2021;pasto;1292,2;3465,6000000000004;3301,2000000000003;4
2022;bogota;23433,7;86085,6;83445,8;4
2022;bucaramanga;1892,3000000000002;6181,8;5529,6;4
2022;cali;5279,8;19004,4;53473,600000000006;4
2022;medellin;6948,5;24561,2;26577,4;4
2022;pasto;1501,6000000000001;4352,400000000001;4437,2;4
2023;bogota;19924,4;82866,0;77789,6;4
2023;bucaramanga;1583,2;5772,6;4934,8;4
2023;cali;3501,4;16567,2;23474,4;4
2023;medellin;5408,400000000001;22046,600000000002;21369,800000000003;4
2023;pasto;1173,0;4262,0;4203,400000000001;4
